Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,TMOABContact,0,2
2,TMOAccountInfo,0,1
3,TMOBlockedContact,0,0
4,TMOCallerIdEntry,0,0
5,TMOContactValue,0,12
6,TMOEmailContactValue,5,0
7,TMOPhoneNumberContactValue,5,0
8,TMOTextNowAccountContactValue,5,0
9,TMOUnknownTypedContactValue,5,0
10,TMOConversation,0,8
11,TMOGroupConversation,10,0
12,TMOOneOnOneConversation,10,0
13,TMOInteraction,0,109
14,TMOCall,13,0
15,TMOMessage,13,0
16,TMOImageMessage,15,0
17,TMOVideoMessage,16,0
18,TMOMissedCallMessage,15,0
19,TMOVoiceMailMessage,18,0
20,TMOSystemMessage,15,0
21,TMOTextMessage,15,0
22,TMOPremiumState,0,1
23,TMOPurchaseTransaction,0,0
24,TMOQosTestProfile,0,0
25,TMOQosTestServer,0,0
26,TMOServerContact,0,2
27,TMOSIPData,0,0
