Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
1,16002,,,1,,2,606520107.710506,,,,,
2,16002,,3.0,4,6.0,5,607048586.459362,,,,,
3,16002,,,4,,5,607048587.393057,,,,,
4,16002,,,4,,5,607048587.417198,,,,,
5,16002,,,4,,5,607048587.45585,,,,,
6,16002,,,4,,5,607048587.517204,,,,,
7,16002,,,4,,5,607048587.567099,,,,,
8,16002,,,4,,5,607048588.480637,,,,,
9,16002,,,4,,5,607048588.498841,,,,,
10,16002,,,4,,5,607048588.510238,,,,,
11,16002,,,4,,5,607048588.522526,,,,,
12,16002,,,4,,5,607048588.530153,,,,,
13,16002,,3.0,4,6.0,5,607048597.90137,,,,,
14,16002,,,4,,5,607048599.36785,,,,,
15,16002,,,4,,5,607048599.386488,,,,,
16,16002,,,4,,5,607048599.390308,,,,,
17,16002,,3.0,4,6.0,5,607048612.641726,,,,,
18,16002,,3.0,4,6.0,5,607048613.349789,,,,,
19,16002,,,4,,5,607048614.883691,,,,,
20,16002,,3.0,4,6.0,5,607048617.598772,,,,,
21,16002,,3.0,4,6.0,5,607048618.558969,,,,,
22,16002,,,4,,5,607048619.838195,,,,,
23,16002,,3.0,4,6.0,5,607048622.41023,,,,,
24,16002,,,4,,5,607048623.631044,,,,,
25,16002,,3.0,4,6.0,5,607048624.196339,,,,,
26,16002,,,4,,5,607048625.483073,,,,,
27,16002,,3.0,4,6.0,5,607048631.180331,,,,,
28,16002,,3.0,4,6.0,5,607048631.196322,,,,,
29,16002,,3.0,4,6.0,5,607048631.736472,,,,,
30,16002,,,4,,5,607048633.051056,,,,,
31,16002,,,4,,5,607048633.057667,,,,,
32,16002,,,4,,5,607048639.892966,,,,,
33,16002,,,4,,5,607048641.288368,,,,,
34,16002,,,4,,5,607048641.294595,,,,,
