name,seq
storiessnapreadreceipt__fetchflag_draft,1
friendsfeed__iteminfo,2
jobscheduler__jobinfo,13
stories__rankedstoryidentifiers_draft,1
stories__deltacursormetadata,2
snapchatters__displaymetadata,3
snapchatters__indexscript,1
friendsfeed__conversationstate,2
discoverfeed__storydeltainfo_draft,292
charms__charm_draft,4
profilechatattachment__fetchmetadata_draft,1
profilechatmedia__datamodel_draft,2
profilechatmedia__fetchmetadata_draft,1
charms__syncmetadata_draft,1
discoverfeed__section_draft,1
discoverfeed__page_draft,1
