id,sticker_id,tag
1,20011476,BIRTHDAY ALONE
2,20011476,CAKE
3,20011476,ALONE AT A BAR
4,20011476,SAD BIRTHDAY
5,20011476,SAD CAKE
6,20011476,LONELY
7,20011476,BIRTHDAY
8,10213504,CAVALIERS
9,10213504,CAVS
10,10213504,NBA
11,10213504,CLEVELAND
12,10223659,NFL
13,10223659,SAINTS
14,10223659,FOOTBALL
15,10223659,NEW ORLEANS
16,8255225,CUTIE PIE
17,8255225,CUTIE PIE*
18,8255225,SWEET
19,8255225,CUTE
20,8255225,ADORABLE
21,10226643,ZODIAC SIGN
22,10226643,SCORPIO*
23,10226643,ZODIAC
24,10226643,ASTROLOGY
25,10226643,SCORPIO
26,10230244,HOCKEY
27,10230244,NHL
28,10230244,BUFFALO
29,10230244,SABRES
30,10236535,SOCCER
31,10236535,BOO
32,10236535,WORLD CUP
33,10236535,YELLING
34,10236535,FOOTBALL
35,10236535,STANDS
36,10236535,BLEACHERS
37,20019280,HOME RUN
38,20019280,HOME RUN*
39,20019280,HOMERUN
40,20019280,BASEBALL
41,10233824,MAY THE FOURTH
42,10233824,MAY THE FOURTH BE WITH YOU
43,10233824,MAY THE 4TH BE WITH YOU
44,10233824,MAY THE 4TH
45,10233824,STAR WARS
46,10233824,MAY THE FORCE BE WITH YOU*
47,10233824,MAY THE FORCE BE WITH YOU
48,10233824,STAR WARS DAY
49,10233824,MAY 4
50,10211676,WHATS FOR DINNER*
51,10211676,HUNGRY
52,10211676,FRIDGE
53,10211676,WHATS FOR DINNER
54,10211676,WHATS FOR SUPPER
55,10211676,WHATS FOR DINNER
56,10211676,WHATS FOR SUPPER
57,10211676,DINNER
58,10211676,SUPPER
59,10211676,FOOD
60,10211676,WHATS FOR DINNER*
61,10214660,GROUP PHOTO*
62,10214660,PHOTO BOMB
63,10214660,GROUP PHOTO
64,10214660,PHOTOBOMB
65,10214660,PHOTO
66,10214660,POSE
67,10218587,MLB
68,10218587,ARIZONA
69,10218587,DIAMONDBACKS
70,10218587,BASEBALL
71,20007893,NBD
72,20007893,NO BIGGIE*
73,20007893,DONT WORRY
74,20007893,NO BIGGY
75,20007893,NO BIGGIE
76,20007893,NO BIG DEAL
77,20007893,NO WORRIES
78,20007893,ITS FINE
79,20007893,YOURE WELCOME
80,10231996,HUMP
81,10231996,HUMP DAY
82,10231996,CAMEL
83,10231996,WEDNESDAY
84,10231996,HUMPDAY
85,10213522,CLIPPERS
86,10213522,LOS ANGELES
87,10213522,NBA
88,10223677,NFL
89,10223677,BROWNS
90,10223677,FOOTBALL
91,10223677,CLEVELAND
92,10221323,LUTE LOVE SONG
93,10221323,LOVE SONG
94,10221323,LUTE
95,10221323,LUTE SERENADE
96,10221323,MANDOLIN
97,10221323,MANDOLIN SERENADE
98,10221323,MANDOLIN LOVE SONG
99,10221323,SERENADE
100,9940762,NO
101,9940762,BOOO
102,9940762,NOPENOPENOPE*
103,9940762,NOPENOPENOPE
104,9940762,NOPE NOPE NOPE*
105,9940762,NOPE NOPE NOPE
106,9940762,OOPS
107,9940762,WTF
108,9940762,GRRR
109,9940762,SCARY
110,9940762,SCARED
111,9940762,NOPE
112,10231478,THE CHAMP
113,10231478,WINNER
114,10231478,THE CHAMP*
115,10231478,CHAMP
116,10231478,CHAMPION
117,10231478,ME
118,10231478,BOXING
119,8582823,RUDE
120,8582823,SO BORING
121,8582823,SIGN
122,8582823,SO BORING*
123,8582823,SO BORED
124,10213267,BASKETBALL
125,10213267,NBA
126,10213267,RUNNING PASS
127,10213267,BASKETBALL PASS
128,10213267,PASS
129,10216847,GOOD NIGHT
130,10216847,NITEY NITE
131,10216847,TONIGHT SHOW
132,10216847,TALK SHOW
133,10216847,THATS ALL FOLKS
134,10216847,NIGHT
135,10216847,GOODNIGHT
136,10216847,TALK SHOW HOST
137,10216847,LATE NIGHT
138,10216847,NITE
139,10216847,GNITE
140,10019031,BUZZ OFF
141,10019031,BEE SUIT
142,10019031,BUZZ OFF*
143,10019031,BEE
144,10019031,EFF OFF
145,10019031,JERK
146,10019031,GET OUTTA HERE
147,10019031,GO AWAY
148,10019031,BEE COSTUME
149,10019031,PISS OFF
150,10019031,GET OUT OF HERE
151,10213540,MEMPHIS
152,10213540,NBA
153,10213540,GRIZZLIES
154,10229986,PIZZA
155,10229986,SASS
156,10229986,FOOD
157,10229986,🍕
158,10230280,HOCKEY
159,10230280,NHL
160,10230280,PHILIDELPHIA
161,10230280,FLYERS
162,10224648,MEMPHIS
163,10224648,NBA
164,10224648,GRIZZLIES
165,10212402,AYYYYY
166,10212402,AWESOME
167,10212402,AYYYYY*
168,10212402,NICE
169,10224921,FAN
170,10224921,FANCY
171,10224921,FANCY*
172,10224921,LUXURY
173,10218956,BREAKDANCING
174,10218956,BREAKDANCING*
175,10218956,BREAK DANCING*
176,10218956,BREAK DANCING
177,10218956,DANCING
178,10218956,DANCE
179,10212665,MISSION IMPOSSIBLE*
180,10212665,MISSION IMPOSSIBLE
181,7717972,LOVE
182,7717972,I LOVE U*
183,7717972,I LOVE YOU
184,7717972,LUV YA*
185,7717972,LOVE*
186,7717972,I LOVE U
187,7717972,ADORE
188,10213618,UTAH
189,10213618,JAZZ
190,10213618,NBA
191,10219576,TOOTH BRUSHING
192,10219576,BRUSHING TEETH WITH CAT
193,10219576,BRUSHING TEETH
194,10219576,TOOTH BRUSH
195,10219576,TOOTHBRUSH
196,10219576,BRUSHING TEETH WITH CAT*
197,10229468,MELANOMA AWARENESS
198,10229468,SLEEP DISORDER
199,10229468,MOURNING
200,10229468,RIBBON
201,10229468,911 MOURNING
202,10229468,BLACK RIBBON
203,10235696,EMOJIS
204,10235696,LOVE
205,10235696,HEARTBREAK
206,10235696,BALLOONS
207,10235696,SAD
208,10235696,EMOJI BALLOONS
209,10235696,HEARTBREAK EMOJI
210,10235696,SAD EMOJI
211,10235696,BALLOON
212,10235696,TEARS
213,10235696,EMOJI
214,10235696,CRY
215,10235696,CRYING EMOJI
216,10235696,TEAR
217,10235696,CRYING
218,10235696,HEART BREAK
219,10235696,BROKEN HEART EMOJI
220,10235696,WEEP
221,10235696,WEEPING
222,10235696,ADORE
223,10235696,😭
224,10235696,😢
225,10235696,😿
226,10235696,💔
227,10222830,FLOWERS
228,10222830,BOUQUET
229,10222830,LILIES
230,10222830,LILY BOUQUET
231,10230358,HOCKEY
232,10230358,NHL
233,10230358,FLAMES
234,10230358,CALGARY
235,20042695,CLOWN
236,20042695,JOKER
237,20042695,GOOFBALL
238,20042695,GOOF
239,20042695,IM A CLOWN
240,20042695,SUCKER
241,20042695,JOKE
242,20042695,FOOL
243,20042695,FOOLISH
244,20042695,I SUCK
245,20042695,SORRY
246,20042695,MY BAD
247,10224666,DETROIT
248,10224666,PISTONS
249,10224666,NBA
250,10211800,HOLE
251,10211800,JUMPING IN A HOLE
252,10211800,JUMP INTO HOLE
253,10211800,JUMP
254,10237542,SOCCER
255,10237542,FOOTBALL
256,10237542,SOCCER FAN
257,10237542,WATCHING AT HOME
258,20043648,CHILLIN
259,20043648,CHILLING
260,20043648,COOLER
261,20043648,DRINKS
262,20043648,DRINK
263,20043648,PARTY
264,20043648,CAMPING
265,20043648,REFRESHMENT
266,20043648,RELAX
267,20043648,RELAXING
268,20043648,ICE
269,20043648,SODA
270,20043648,HOT
271,20043648,CHILLAXING
272,20043648,SUMMER
273,20043648,BBQ
274,20043648,POP
275,20043648,BARBECUE
276,20043648,BEACH
277,10218711,MLB
278,10218711,BASEBALL
279,10218711,CHICAGO
280,10218711,CUBS
281,10212420,AYYYYY
282,10212420,AWESOME
283,10212420,AYYYYY*
284,10212420,NICE
285,10216347,MARBLE
286,10216347,MICHAELANGELO
287,10216347,SCULPTED
288,10216347,SCULPTED*
289,10216347,STATUE
290,10216347,RENAISSANCE
291,10216347,SCULPTURE
292,10216347,DAVID
293,10218974,ILL BE THERE
294,10218974,IM IN
295,10218974,ILL BE THERE
296,10218974,LETS DO IT
297,10218974,IM IN
298,10218974,IM IN*
299,10222575,ICECREAM
300,10222575,TWO SCOOP CONE
301,10222575,ICE CREAM FRIENDS
302,10222575,ICECREAM CONE
303,20037360,RUDE
304,20037360,YOURE MEAN
305,20037360,HOW RUDE
306,20037360,INSULTED
307,20037360,YOURE MEAN*
308,9945815,UR WELCOME
309,9945815,YOURE WELCOME*
310,9945815,YOU ARE WELCOME
311,9945815,YOURE WELCOME
312,9945815,YOURE WELCOME
313,9945815,YOURE WELCOME*
314,9945815,NO PROB
315,9945815,NO PROBLEM
316,9945815,YW
317,10213636,DALLAS
318,10213636,MAVS
319,10213636,MAVERICKS
320,10213636,NBA
321,10229486,SLAPSHOT
322,10229486,HOCKEY
323,10229486,SKATING STOP
324,20022130,FATHERS DAY
325,20022130,RAD DAD
326,20022130,FATHERS DAY
327,20022130,RAD DAD*
328,20022130,DAD
329,20022130,HAPPY FATHERS DAY
330,20002942,THANK YOU*
331,20002942,GIFT BASKET
332,20002942,THANK YOU
333,20002942,THANK YOU BASKET
334,20002942,TY
335,20002942,THANK YOU GIFT BASKET
336,20002942,THANK YOU SO MUCH
337,10230113,HOCKEY
338,10230113,NHL
339,10230113,BLACKHAWKS
340,10230113,CHICAGO
341,20010207,YAY
342,20010207,HALLELUJAH*
343,20010207,HALLELUJAH
344,20010207,HURRAY
345,20010207,PRAISE
346,20010207,PRAISE THE LORD
347,10230376,HOCKEY
348,10230376,NHL
349,10230376,BUFFALO
350,10230376,SABRES
351,10223801,NFL
352,10223801,HOUSTON
353,10223801,TEXANS
354,10223801,FOOTBALL
355,10227728,BUMBLE BEE
356,10227728,BEE
357,10227728,BEE RIDE
