sid,nid,bandclass,channel,numpoints,id
8,2,0,384,8,1
28,5,0,384,8,2
2,1,0,384,7,3
12342,27035,0,40,7,4
40,7,0,384,7,5
12336,25200,0,40,7,6
30,2,0,384,7,7
28,2,0,425,7,8
32,5,0,384,7,9
22,13,0,384,7,10
13898,11,0,283,7,11
14180,1,0,283,7,12
28,6,0,777,6,13
179,3,0,283,6,14
4145,4,1,25,6,15
40,4,0,384,6,16
13884,36,0,283,6,17
299,144,0,242,6,18
4162,2,1,650,6,19
13995,6,0,283,6,20
2,5,0,384,6,21
299,102,0,384,6,22
8,2,0,777,6,23
4120,312,1,425,6,24
22407,312,10,476,6,25
4119,7,1,75,6,26
28,6,0,384,6,27
2,3,0,384,6,28
21,19,0,283,6,29
119,2,0,283,6,30
4138,2,1,425,6,31
1740,2,0,384,6,32
4120,312,1,450,6,33
14175,11,0,283,6,34
21,0,0,283,6,35
80,2,0,384,6,36
13890,29,0,283,6,37
162,2,0,384,6,38
22,13,0,425,6,39
14274,18,0,283,6,40
8,7,0,777,6,41
119,3,0,283,6,42
12336,25106,0,40,6,43
26,1,0,384,6,44
78,7,0,384,6,45
48,1,0,384,6,46
14175,12,0,283,6,47
14175,13,0,283,6,48
299,173,0,242,6,49
26,7,0,384,6,50
2,4,0,425,6,51
4168,73,1,650,6,52
299,104,0,384,6,53
18,7,0,384,6,54
112,5,0,384,6,55
22,14,0,777,6,56
4183,250,1,75,6,57
14141,606,0,283,6,58
12336,25039,0,40,6,59
4192,4,0,384,6,60
143,2,0,283,6,61
2,52,0,384,6,62
2,51,0,425,6,63
8,5,0,777,6,64
4170,1,1,675,6,65
13888,47,0,283,6,66
4192,3,1,425,6,67
21,12,0,283,6,68
86,5,0,384,6,69
4192,3,1,450,6,70
32,4,0,384,6,71
94,2,0,384,6,72
22,9,0,589,6,73
299,104,0,426,6,74
12,1,0,384,6,75
299,173,0,283,6,76
1280,1,0,384,6,77
112,6,0,384,6,78
20,1,0,384,6,79
299,144,0,283,6,80
2,4,0,384,6,81
41,2,0,283,6,82
21,12,0,384,6,83
22,13,0,548,6,84
14167,27,0,283,6,85
170,3,0,384,6,86
4126,213,1,575,6,87
