id,minlat,maxlat,minlong,maxlong
275,21.0,21.5,-158.5,-158.0
276,21.0,21.5,-158.5,-158.0
277,21.0,21.5,-158.5,-158.0
278,21.0,21.5,-158.5,-158.0
271,21.0,21.5,-158.0,-157.5
272,21.0,21.5,-158.0,-157.5
273,21.0,21.5,-158.0,-157.5
274,21.0,21.5,-158.0,-157.5
270,21.0,21.5,-157.5,-157.0
265,20.5,21.0,-157.0,-156.5
266,20.5,21.0,-157.0,-156.5
261,20.5,21.0,-156.5,-156.0
262,20.5,21.0,-156.5,-156.0
263,20.5,21.0,-156.5,-156.0
264,20.5,21.0,-156.5,-156.0
236,19.5,20.0,-156.0,-155.5
224,19.0,19.5,-156.0,-155.5
237,19.5,20.0,-156.0,-155.5
238,19.5,20.0,-156.0,-155.5
251,20.0,20.5,-156.0,-155.5
235,19.5,20.0,-155.5,-155.0
250,20.0,20.5,-155.5,-155.0
234,19.5,20.0,-155.0,-154.5
290,21.5,22.0,-158.5,-158.0
291,21.5,22.0,-159.5,-159.0
292,21.5,22.0,-160.0,-159.5
321,22.0,22.5,-159.5,-159.0
322,22.0,22.5,-159.5,-159.0
5703,36.0,36.5,-122.0,-121.5
5996,36.5,37.0,-121.5,-121.0
5995,36.5,37.0,-121.5,-121.0
5998,36.5,37.0,-122.0,-121.5
5997,36.5,37.0,-122.0,-121.5
6001,36.5,37.0,-122.5,-122.0
6000,36.5,37.0,-122.5,-122.0
5999,36.5,37.0,-122.5,-122.0
6309,37.0,37.5,-122.5,-122.0
6308,37.0,37.5,-122.5,-122.0
6307,37.0,37.5,-122.5,-122.0
6306,37.0,37.5,-122.5,-122.0
6305,37.0,37.5,-122.5,-122.0
6304,37.0,37.5,-122.0,-121.5
6303,37.0,37.5,-122.0,-121.5
6302,37.0,37.5,-122.0,-121.5
6301,37.0,37.5,-122.0,-121.5
6300,37.0,37.5,-121.5,-121.0
6299,37.0,37.5,-121.5,-121.0
6298,37.0,37.5,-121.5,-121.0
6297,37.0,37.5,-121.5,-121.0
6584,37.5,38.0,-121.5,-121.0
6585,37.5,38.0,-121.5,-121.0
6586,37.5,38.0,-121.5,-121.0
6587,37.5,38.0,-121.5,-121.0
6588,37.5,38.0,-122.0,-121.5
6589,37.5,38.0,-122.0,-121.5
6590,37.5,38.0,-122.0,-121.5
6591,37.5,38.0,-122.0,-121.5
6592,37.5,38.0,-122.0,-121.5
6593,37.5,38.0,-122.0,-121.5
4093,34.0,34.5,-120.5,-120.0
4089,34.0,34.5,-120.0,-119.5
4090,34.0,34.5,-120.0,-119.5
4091,34.0,34.5,-120.0,-119.5
4092,34.0,34.5,-120.0,-119.5
4085,34.0,34.5,-119.5,-119.0
4086,34.0,34.5,-119.5,-119.0
4087,34.0,34.5,-119.5,-119.0
4088,34.0,34.5,-119.5,-119.0
4080,34.0,34.5,-119.0,-118.5
4081,34.0,34.5,-119.0,-118.5
4082,34.0,34.5,-119.0,-118.5
4083,34.0,34.5,-119.0,-118.5
4084,34.0,34.5,-119.0,-118.5
4399,34.5,35.0,-120.0,-119.5
4400,34.5,35.0,-120.5,-120.0
4401,34.5,35.0,-120.5,-120.0
4402,34.5,35.0,-120.5,-120.0
4403,34.5,35.0,-120.5,-120.0
4404,34.5,35.0,-121.0,-120.5
4842,35.0,35.5,-120.5,-120.0
4843,35.0,35.5,-121.0,-120.5
4844,35.0,35.5,-121.0,-120.5
4845,35.0,35.5,-121.0,-120.5
4069,34.0,34.5,-118.5,-118.0
4070,34.0,34.5,-118.5,-118.0
4071,34.0,34.5,-118.5,-118.0
4072,34.0,34.5,-118.5,-118.0
4073,34.0,34.5,-118.5,-118.0
4074,34.0,34.5,-118.5,-118.0
