mcc,mnc,arfcn,numpoints,id
460,1,10663,7,1
901,12,10800,6,2
901,12,10800,6,3
901,12,10800,5,4
724,5,4384,6,5
724,5,4359,6,6
724,11,10713,7,7
724,11,4436,7,8
724,5,4384,6,9
724,5,10638,5,10
724,5,4359,5,11
724,11,10787,10,12
724,11,10812,10,13
724,11,4436,10,14
724,2,10612,9,15
724,5,4359,8,16
724,2,10588,8,17
724,5,4384,8,18
724,5,10638,8,19
724,31,10738,8,20
724,31,10763,8,21
724,5,4359,7,22
724,11,10713,6,23
724,11,4436,6,24
724,5,4384,5,25
740,1,4387,6,26
740,0,4412,6,27
740,1,587,6,28
740,2,662,6,29
740,1,612,6,30
740,0,4436,5,31
740,1,4387,10,32
740,1,587,9,33
740,1,612,9,34
740,0,4412,9,35
740,0,4436,8,36
740,2,662,8,37
740,0,512,8,38
740,0,537,7,39
740,2,687,7,40
740,1,4387,8,41
740,1,587,8,42
740,0,4412,8,43
740,1,612,7,44
740,2,662,6,45
740,0,4436,6,46
740,1,4387,9,47
740,0,4412,8,48
740,1,587,7,49
740,2,662,7,50
740,1,612,7,51
740,1,4387,13,52
740,1,587,13,53
740,0,4436,13,54
740,0,4412,13,55
740,0,512,12,56
740,1,612,12,57
740,2,662,11,58
740,1,4387,12,59
740,1,587,12,60
740,0,4436,12,61
740,0,4412,12,62
740,0,512,11,63
740,1,612,11,64
740,2,662,11,65
740,1,4366,10,66
740,2,687,9,67
740,1,4387,11,68
740,1,587,11,69
740,1,612,11,70
740,0,4412,10,71
740,0,4436,10,72
740,2,662,9,73
740,0,512,9,74
740,0,4412,8,75
740,1,4387,8,76
740,1,587,8,77
740,1,612,7,78
740,0,4436,7,79
740,2,662,6,80
740,1,4387,8,81
740,1,587,8,82
740,0,4412,8,83
740,1,612,7,84
740,2,662,7,85
740,0,512,7,86
740,0,537,6,87
740,1,4387,8,88
740,0,512,7,89
740,1,587,7,90
740,0,537,7,91
740,2,637,6,92
460,1,10663,7,93
250,1,10762,6,94
628,3,2995,6,95
628,1,3085,5,96
510,10,10688,9,97
510,10,10638,9,98
510,10,10663,9,99
510,11,3087,8,100
510,11,10763,8,101
510,89,10563,8,102
510,1,3013,7,103
510,11,10738,6,104
510,1,10838,6,105
510,10,10688,9,106
510,10,10638,9,107
510,10,10663,8,108
510,11,3087,8,109
510,11,10763,7,110
510,89,10563,7,111
510,1,3013,6,112
510,11,10738,6,113
510,10,10663,7,114
510,10,10638,7,115
510,10,10688,6,116
510,11,3087,5,117
510,10,10663,6,118
510,10,10638,6,119
510,10,10688,5,120
510,10,10688,7,121
510,10,10663,7,122
510,10,10638,7,123
510,11,3087,6,124
510,10,10688,7,125
510,10,10638,7,126
510,10,10663,6,127
510,11,10763,5,128
510,10,10688,7,129
510,10,10638,7,130
510,10,10663,6,131
510,11,3087,6,132
510,89,10563,5,133
510,10,10688,6,134
510,10,10638,6,135
510,10,10663,6,136
510,10,10663,10,137
510,10,10638,10,138
510,10,10688,10,139
510,89,10563,10,140
510,11,10763,9,141
510,1,10838,9,142
510,1,3013,9,143
510,11,3087,9,144
510,89,10588,8,145
510,11,10738,8,146
510,10,10663,7,147
510,10,10638,6,148
510,1,3013,6,149
510,10,10688,6,150
510,1,10838,5,151
