pid,report_url,eventBody,locked_by,locked_time,timestampInserted,account
1,xp_its_podcasts_main,"{""state"":0,""manual"":false,""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""clientEventId"":""1302D07A-D1F6-4C5B-BD3F-5F71DEBE8EAE"",""source"":9,""topic"":""xp_its_podcasts_main"",""eventTime"":1586371868793,""app"":""com.apple.podcasts"",""pageType"":""episode_play_state"",""contentId"":{""guid"":""8a41a4bf-5b36-4add-afd9-23aa8a956c0d"",""title"":""Wednesday, April 8, 2020"",""podcast"":""Up First""},""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""eventVersion"":1}",,0.0,608064668.801258,
2,xp_amp_podcasts_play,"{""osVersion"":""13.3.1"",""itemType"":""download"",""eventType"":""play"",""eventVersion"":1,""playbackSpeed"":0,""topic"":""xp_amp_podcasts_play"",""contentGUID"":""8a41a4bf-5b36-4add-afd9-23aa8a956c0d"",""podcastFeedURL"":""https:\/\/feeds.npr.org\/510318\/podcast.xml"",""appVersion"":""3.9"",""baseVersion"":1,""playStartTime"":1586371086254,""eventTime"":1586371868839,""playStartPosition"":0,""mediaType"":""audio"",""contentLength"":781.21795918367343,""providerId"":"""",""podcastId"":""1222114325"",""podcastState"":""subscribed"",""playDuration"":781.21795918367343,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""F5767F97-6EEC-4BA9-8C6C-D671CB12D428"",""contentId"":"""",""clientId"":""It0LweMLMC0ZGPHPO+RLo7Eo0Wzg0z8ZtNX51RCDpc0="",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""userId"":""glcCXbFdBM2033pPN\/mkkWz3j80ugX2+DIc2mw1PWUQ=""}",,0.0,608064668.882736,
3,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586371869213,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""FACAB36C-B890-4F21-8419-AA3E2BE289A0"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608064669.218658,
4,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":2,""updatedDate"":608063859.78090203,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""70413065-58C3-4291-B788-5189128640D9"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586428845292,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1085119221"",""feedUrl"":""https:\/\/digitalforensicsurvivalpodcast.libsyn.com\/rss"",""title"":""Digital Forensic Survival Podcast""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608121645.305477,
5,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":1,""updatedDate"":608063861.96096599,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""2C341790-82C2-493B-81C4-1AA0D8267A84"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586428845301,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""994362496"",""feedUrl"":""https:\/\/iotpodcast.com\/feed\/podcast\/"",""title"":""The Internet of Things Podcast - Stacey On IoT""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608121645.347973,
6,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":0,""updatedDate"":608063860.67797995,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""BB9FBBDB-0398-4B7A-A66F-D76341D26390"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586428845305,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""503494956"",""feedUrl"":""http:\/\/thecultcast.libsyn.com\/rss"",""title"":""The CultCast""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608121645.377284,
7,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":0,""updatedDate"":608063859.52005601,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""9868AF0E-8B6E-4601-B84A-12892BE8DF04"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586428845307,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1222114325"",""feedUrl"":""https:\/\/feeds.npr.org\/510318\/podcast.xml"",""title"":""Up First""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608121645.386669,
8,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":0,""updatedDate"":608063859.33531296,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""5F82CF05-D6E0-4308-81B3-B0431D2DEF46"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586428845307,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1266572767"",""feedUrl"":""http:\/\/feeds.feedburner.com\/ThisMonthIn4n6"",""title"":""This Week In 4n6 » Podcasts""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608121645.390608,
9,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":0,""updatedDate"":608063859.88126004,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""95DE30B9-A699-4B33-B1F4-5F66BA757382"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586428845308,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1179376133"",""feedUrl"":""https:\/\/feeds.captivate.fm\/cybersecurityinterviews\/"",""title"":""Cyber Security Interviews""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608121645.392612,
10,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428848820,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""6A4165FB-4185-4943-9346-7D0E0696BAD5"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121648.860677,
