ROWID,message_id,remote_id,document_id,sender,subject_prefix,subject,summary,date_sent,date_received,mailbox,remote_mailbox,flags,read,flagged,deleted,size,conversation_id,date_last_viewed,original_mailbox,visible,sender_vip,encoding,content_type,sequence_identifier,external_id,unique_id,content_index_transaction_id,list_id_hash,journaled,flag_color,searchable_message
1,6839622294575302061,249,,1,,1,31.0,1580312466,1580312467,1,1,549756075009,1,0,0,11184,6839622294575302061,,1,1,0,,6,53303,93A38D70-0A55-4112-8230-CCBC4E9B05B4,1657077726402606778,,0,0,,1
2,7193262899052988233,250,,3,,2,40.0,1580322464,1580322466,1,1,549756075009,1,0,0,24212,7193262899052988233,,1,1,0,,6,53303,F2E7E782-EF41-443D-8760-7C8E2D95F108,1657088211060101237,,0,0,,2
3,-5832877578389008631,251,,4,,3,42.0,1580322521,1580322522,1,1,549756075009,1,0,0,18455,-5832877578389008631,,1,1,0,,6,53303,73282990-1D4D-42A1-934A-9F63DD3D1518,1657088268983466865,,0,0,,3
4,2469435521926178119,252,,6,,4,41.0,1580322607,1580322610,1,1,549756075009,1,0,0,11971,2469435521926178119,,1,1,0,,6,53303,147EABC4-5849-459B-9254-C0A1AA114A89,1657088361905779744,,0,0,,4
5,-2496349908042189933,253,,8,,5,6.0,1580479200,1580481867,1,1,549756075009,1,0,0,27114,-2496349908042189933,,1,1,0,,6,53303,9995C21F-D61A-46C5-8B39-F8D3E68EC10A,1657255354994821604,,0,0,,5
6,5866263849704454379,258,,9,,6,24.0,1580589690,1580589690,1,1,549756075009,1,0,0,4307,5866263849704454379,,1,1,0,,1,53303,347CCDFA-6689-4C30-8A05-C5C4A37C03CD,1657368415227836464,,0,0,,6
7,8565273779747861623,259,,8,,7,4.0,1580997600,1580998182,1,1,549756075009,1,0,0,27161,8565273779747861623,,1,1,0,,6,53303,56BEE9DA-27C3-472C-A567-F80F9B0DE9BA,1657796749731902143,,0,0,,7
8,-7437857699687355411,260,,10,,8,22.0,1581192944,1581192944,1,1,549756075009,1,0,0,7422,-7437857699687355411,,1,1,0,,1,53303,9EDFA99A-D03A-4A4D-B1C3-1B466E4C9B80,1658000973431251103,,0,0,,8
9,8223928241515779968,261,,11,,9,1.0,1581463516,1581463517,1,1,549756075009,1,0,0,84405,8223928241515779968,,1,1,0,,6,53303,F8222D37-40FF-4953-B040-40D748B25212,1658284689615785818,,-817572876086821560,0,,9
10,-4478795073614248110,264,,12,,10,20.0,1581644841,1581644842,1,1,549756075009,1,0,0,12251,-4478795073614248110,,1,1,0,,1,53303,87A8627E-396B-40DF-8E15-82E4D035FB7C,1658474822706405539,,0,0,,10
11,8209436898097488953,265,,12,,11,37.0,1581644951,1581644952,1,1,549756075009,1,0,0,10061,8209436898097488953,,1,1,0,,1,53303,88C108B8-766E-47CA-8407-A06F3402C15A,1658474937516852506,,0,0,,11
12,-6892095178463786057,266,,12,,12,13.0,1581644986,1581644986,1,1,549756075009,1,0,0,12124,-6892095178463786057,,1,1,0,,1,53303,5F297A0A-76D6-482A-8EDE-D76A5080C651,1658474974266419324,,0,0,,12
13,7102393359209872932,267,,8,,13,35.0,1581706800,1581709185,1,1,549756075009,1,0,0,27148,7102393359209872932,,1,1,0,,6,53303,6993DC08-502A-4B89-B309-25D4FA4F7D74,1658542290736516244,,0,0,,13
14,-4996725533213504631,268,,3,,14,10.0,1581770218,1581770220,1,1,549756075009,1,0,0,22579,-4996725533213504631,,1,1,0,,6,53303,065CDF99-B146-4C22-BFA4-24160DCF745C,1658606290838925250,,0,0,,14
15,8518656150607573555,269,,8,,15,29.0,1581770408,1581770411,1,1,549756075009,1,0,0,40446,8518656150607573555,,1,1,0,,6,53303,C5D5141B-07CF-40C1-A38F-C81063D24D8D,1658606490827252285,,0,0,,15
16,-5047677473155794996,270,,8,,15,3.0,1581770498,1581770500,1,1,549756075009,1,0,0,40750,-5047677473155794996,,1,1,0,,6,53303,57FAFB88-92DB-4A1D-905C-91762C1B538E,1658606583998581408,,0,0,,16
17,-1190273655973684638,271,,13,,16,26.0,1581770498,1581770501,1,1,549756075009,1,0,0,31344,-1190273655973684638,,1,1,0,,6,53303,FEC43223-D6ED-428C-A870-D85A404EBF87,1658606584726869580,,0,0,,17
18,8934106926536327260,272,,6,,17,43.0,1581770707,1581770708,1,1,549756075009,1,0,0,5447,8934106926536327260,,1,1,0,,1,53303,B132A5CD-D636-4080-A819-59E0A0621F97,1658606802151836417,,0,0,,18
19,-2138479967756916699,273,,14,,18,18.0,1581771843,1581771844,1,1,549756075009,1,0,0,7480,-2138479967756916699,,1,1,0,,1,53303,7CB33989-9B44-4766-889C-A75DD4B1D07E,1658607993208979483,,0,0,,19
20,-5061402589034770031,274,,4,,19,45.0,1581772593,1581772593,1,1,549756075009,1,0,0,21391,-5061402589034770031,,1,1,0,,6,53303,32AAD748-89B3-46FD-9816-77FBAF3DB296,1658608779124157625,,0,0,,20
21,1691632938734562469,275,,9,,20,17.0,1581773022,1581773022,1,1,549756075009,1,0,0,4258,1691632938734562469,,1,1,0,,1,53303,EE45530D-F268-4618-ADE4-9734D1DAAFC5,1658609229599584288,,0,0,,21
22,-6303743845951167792,276,,1,,1,34.0,1581773427,1581773434,1,1,549756075009,1,0,0,10457,-6303743845951167792,,1,1,0,,6,53303,C0123D9A-2F27-4A55-8EB3-73920085FDC1,1658609661234414750,,0,0,,22
23,5600925632585292665,277,,1,,21,16.0,1581773525,1581773525,1,1,549756075009,1,0,0,11443,5600925632585292665,,1,1,0,,6,53303,6E3C3D09-F97F-40B7-BB25-8CE6C848B908,1658609756493827992,,0,0,,23
