_id,bundle_identifier,namespace,key,value
1,imgurmobile,configns:firebase,ad_preload_banner_300x250,b'1'
2,imgurmobile,configns:firebase,ad_preload_banner_320x50,b'2'
3,imgurmobile,configns:firebase,allow_hls_video,b'true'
4,imgurmobile,configns:firebase,allow_nimbus_banners,b'false'
5,imgurmobile,configns:firebase,allow_nimbus_banners_with_mraid,b'true'
6,imgurmobile,configns:firebase,april_fools,"b'{""isEnabled"":false,""activationDate"":""2020-04-01T04:00:00Z"",""deactivationDate"":""2020-04-02T06:59:00Z""}'"
7,imgurmobile,configns:firebase,auth_phone_number,b'true'
8,imgurmobile,configns:firebase,enable_community_health_survey,b'false'
9,imgurmobile,configns:firebase,experiment_DeepLink_Install,b'control'
10,imgurmobile,configns:firebase,experiment_NSFW_Deeplink_Tags,b'mature_and_tags'
11,imgurmobile,configns:firebase,feature_in_album_ads,b'true'
12,imgurmobile,configns:firebase,feature_nimbus_ads,b'true'
13,imgurmobile,configns:firebase,feature_swipe_tooltip,b'true'
14,imgurmobile,configns:firebase,feature_vid2vid,b'true'
15,imgurmobile,configns:firebase,feature_video_upload,b'true'
16,imgurmobile,configns:firebase,gallery_sticky_ad,b'false'
17,imgurmobile,configns:firebase,ignores_ad_config,b'true'
18,imgurmobile,configns:firebase,interstitial_preload_buffer,b'3'
19,imgurmobile,configns:firebase,nsfw_onboarding_tags,"b'boobs,tht,lingerie,busty model,sexy,girls,rhm'"
20,imgurmobile,configns:firebase,onboarding_tag_count,b'5'
21,imgurmobile,configns:firebase,preferred_video_export_preset,b'AVAssetExportPreset1280x720'
22,imgurmobile,configns:firebase,promoted_profile_link,"b'{""id"":""secret_santa_2019"",""title"":""Secret Santa is here!"",""body"":""Tap the hat to access your Secret Santa Hub"",""button_images_directory_url"":""https://s.imgur.com/images/promoted-profile-link/secret-santa-2019"",""button_background_hex_color"":""#591b9a"",""promoted_url"":""https://imgur.com/secretsanta"",""enabled"":false}'"
23,imgurmobile,configns:firebase,should_route_branch_link,b'false'
24,imgurmobile,configns:firebase,show_tag_picker_first,b'false'
25,imgurmobile,configns:firebase,sticky_ad_configuration,"b'{""refreshInterval"":15,""matchBuyEnabled"":true,""isEnabled"":true,""variant"":""variantA""}'"
26,imgurmobile,configns:firebase,sticky_ad_enabled,b'true'
27,imgurmobile,configns:firebase,sticky_ad_match_buy_enabled,b'true'
28,imgurmobile,configns:firebase,sticky_ad_variant,b'variantA'
29,imgurmobile,configns:firebase,tag_picker_subtitle,"b""Find and follow the things you love today, and you'll be all smiles tomorrow!"""
30,imgurmobile,configns:firebase,tag_picker_title,b'Discover the magic of the Internet'
31,imgurmobile,configns:firebase,upload_share_sheet,b'true'
32,imgurmobile,configns:fireperf,fpr_disabled_android_versions,
33,imgurmobile,configns:fireperf,fpr_disabled_ios_versions,
34,imgurmobile,configns:fireperf,fpr_disabled_web_versions,
35,imgurmobile,configns:fireperf,fpr_enabled,b'true'
36,imgurmobile,configns:fireperf,fpr_log_endpoint_url,b'https://firebaselogging.googleapis.com/v0cc/log?format=json_proto'
37,imgurmobile,configns:fireperf,fpr_log_source,b'462'
38,imgurmobile,configns:fireperf,fpr_log_transport_web_percent,b'0.0'
39,imgurmobile,configns:fireperf,fpr_rl_network_request_event_count_bg,b'70'
40,imgurmobile,configns:fireperf,fpr_rl_network_request_event_count_fg,b'700'
41,imgurmobile,configns:fireperf,fpr_rl_time_limit_sec,b'600'
42,imgurmobile,configns:fireperf,fpr_rl_trace_event_count_bg,b'30'
43,imgurmobile,configns:fireperf,fpr_rl_trace_event_count_fg,b'300'
44,imgurmobile,configns:fireperf,fpr_session_gauge_cpu_capture_frequency_ms_bg,b'0'
45,imgurmobile,configns:fireperf,fpr_session_gauge_cpu_capture_frequency_ms_fg,b'100'
46,imgurmobile,configns:fireperf,fpr_session_gauge_memory_capture_frequency_ms_bg,b'0'
47,imgurmobile,configns:fireperf,fpr_session_gauge_memory_capture_frequency_ms_fg,b'100'
48,imgurmobile,configns:fireperf,fpr_session_max_length_min,b'240'
49,imgurmobile,configns:fireperf,fpr_vc_network_request_sampling_rate,b'0.518453'
50,imgurmobile,configns:fireperf,fpr_vc_session_sampling_rate,b'0.01'
51,imgurmobile,configns:fireperf,fpr_vc_trace_sampling_rate,b'1.0'
132,imgurmobile,firebase:__FIRAPP_DEFAULT,show_tag_picker_first,b'false'
133,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_configuration,"b'{""refreshInterval"":15,""matchBuyEnabled"":true,""isEnabled"":true,""variant"":""variantA"",""preloadCount"":1}'"
134,imgurmobile,firebase:__FIRAPP_DEFAULT,allow_hls_video,b'true'
135,imgurmobile,firebase:__FIRAPP_DEFAULT,preferred_video_export_preset,b'AVAssetExportPreset1280x720'
136,imgurmobile,firebase:__FIRAPP_DEFAULT,enable_community_health_survey,b'false'
137,imgurmobile,firebase:__FIRAPP_DEFAULT,onboarding_tag_count,b'5'
138,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_variant,b'variantA'
139,imgurmobile,firebase:__FIRAPP_DEFAULT,upload_share_sheet,b'true'
140,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_EXAMPLE,b''
141,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_video_upload,b'true'
142,imgurmobile,firebase:__FIRAPP_DEFAULT,promoted_profile_link,"b'{""id"":""secret_santa_2019"",""title"":""Secret Santa is here!"",""body"":""Tap the hat to access your Secret Santa Hub"",""button_images_directory_url"":""https://s.imgur.com/images/promoted-profile-link/secret-santa-2019"",""button_background_hex_color"":""#591b9a"",""promoted_url"":""https://imgur.com/secretsanta"",""enabled"":false}'"
143,imgurmobile,firebase:__FIRAPP_DEFAULT,allow_nimbus_banners,b'false'
144,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_swipe_tooltip,b'true'
145,imgurmobile,firebase:__FIRAPP_DEFAULT,gallery_server_response_enabled,b'false'
146,imgurmobile,firebase:__FIRAPP_DEFAULT,allow_nimbus_banners_with_mraid,b'true'
147,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Onboarding_Tag_Count,b''
148,imgurmobile,firebase:__FIRAPP_DEFAULT,should_route_branch_link,b'false'
149,imgurmobile,firebase:__FIRAPP_DEFAULT,tag_picker_subtitle,"b""Find and follow the things you love today, and you'll be all smiles tomorrow!"""
150,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_nimbus_ads,b'true'
151,imgurmobile,firebase:__FIRAPP_DEFAULT,tag_picker_title,b'Discover the magic of the Internet'
152,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_NSFW_Deeplink_Tags,b'mature_and_tags'
153,imgurmobile,firebase:__FIRAPP_DEFAULT,interstitial_preload_buffer,b'3'
154,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_enabled,b'true'
155,imgurmobile,firebase:__FIRAPP_DEFAULT,example_text,b''
156,imgurmobile,firebase:__FIRAPP_DEFAULT,gallery_sticky_ad,b'false'
157,imgurmobile,firebase:__FIRAPP_DEFAULT,april_fools,"b'{""isEnabled"":false,""activationDate"":""2020-04-01T04:00:00Z"",""deactivationDate"":""2020-04-02T06:59:00Z""}'"
158,imgurmobile,firebase:__FIRAPP_DEFAULT,ignores_ad_config,b'true'
159,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Tag_Picker_Copy,b''
160,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_in_album_ads,b'true'
161,imgurmobile,firebase:__FIRAPP_DEFAULT,example_number,b''
162,imgurmobile,firebase:__FIRAPP_DEFAULT,ad_preload_banner_300x250,b'1'
163,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_vid2vid,b'true'
164,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_DeepLink_Install,b'control'
165,imgurmobile,firebase:__FIRAPP_DEFAULT,show_tag_descriptions,b''
166,imgurmobile,firebase:__FIRAPP_DEFAULT,ad_preload_banner_320x50,b'2'
167,imgurmobile,firebase:__FIRAPP_DEFAULT,nsfw_onboarding_tags,"b'boobs,tht,lingerie,busty model,sexy,girls,rhm'"
168,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Auth_Onboarding_Ordering,b''
169,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Tag_Descriptions,b''
170,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_match_buy_enabled,b'true'
171,imgurmobile,firebase:__FIRAPP_DEFAULT,auth_phone_number,b'true'
172,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_vc_session_sampling_rate,b'0.001385847375445'
173,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_trace_event_count_fg,b'300'
174,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_disabled_web_versions,b''
175,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_disabled_android_versions,b''
176,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_cpu_capture_frequency_bg_ms,b'0'
177,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_network_request_event_count_bg,b'70'
178,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_disabled_ios_versions,b''
179,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_enabled,b'true'
180,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_log_endpoint_url,b'https://firebaselogging.googleapis.com/v0cc/log?format=json_proto'
181,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_cpu_capture_frequency_fg_ms,b'100'
182,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_log_transport_web_percent,b'0.0'
183,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_trace_event_count_bg,b'30'
184,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_max_length_min,b'240'
185,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_memory_capture_frequency_fg_ms,b'100'
186,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_network_request_event_count_fg,b'700'
187,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_vc_network_request_sampling_rate,b'0.11999'
188,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_memory_capture_frequency_bg_ms,b'0'
189,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_vc_trace_sampling_rate,b'1.0'
190,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_log_source,b'462'
191,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_time_limit_sec,b'600'
