_id,bundle_identifier,namespace,key,value
1,imgurmobile,configns:firebase,feature_swipe_tooltip,b'true'
2,imgurmobile,configns:firebase,allow_nimbus_banners,b'false'
3,imgurmobile,configns:firebase,show_tag_picker_first,b'false'
4,imgurmobile,configns:firebase,sticky_ad_configuration,"b'{""refreshInterval"":15,""matchBuyEnabled"":true,""isEnabled"":true,""variant"":""variantA""}'"
5,imgurmobile,configns:firebase,allow_hls_video,b'true'
6,imgurmobile,configns:firebase,feature_nimbus_ads,b'true'
7,imgurmobile,configns:firebase,auth_phone_number,b'true'
8,imgurmobile,configns:firebase,gallery_sticky_ad,b'false'
9,imgurmobile,configns:firebase,nsfw_onboarding_tags,"b'boobs,tht,lingerie,busty model,sexy,girls,rhm'"
10,imgurmobile,configns:firebase,ad_preload_banner_300x250,b'1'
11,imgurmobile,configns:firebase,promoted_profile_link,"b'{""id"":""secret_santa_2019"",""title"":""Secret Santa is here!"",""body"":""Tap the hat to access your Secret Santa Hub"",""button_images_directory_url"":""https://s.imgur.com/images/promoted-profile-link/secret-santa-2019"",""button_background_hex_color"":""#591b9a"",""promoted_url"":""https://imgur.com/secretsanta"",""enabled"":false}'"
12,imgurmobile,configns:firebase,allow_nimbus_banners_with_mraid,b'true'
13,imgurmobile,configns:firebase,sticky_ad_enabled,b'true'
14,imgurmobile,configns:firebase,ignores_ad_config,b'true'
15,imgurmobile,configns:firebase,interstitial_preload_buffer,b'3'
16,imgurmobile,configns:firebase,upload_share_sheet,b'true'
17,imgurmobile,configns:firebase,preferred_video_export_preset,b'AVAssetExportPreset1280x720'
18,imgurmobile,configns:firebase,sticky_ad_variant,b'variantA'
19,imgurmobile,configns:firebase,feature_vid2vid,b'true'
20,imgurmobile,configns:firebase,onboarding_tag_count,b'5'
21,imgurmobile,configns:firebase,ad_preload_banner_320x50,b'2'
22,imgurmobile,configns:firebase,feature_video_upload,b'true'
23,imgurmobile,configns:firebase,tag_picker_title,b'Discover the magic of the Internet'
24,imgurmobile,configns:firebase,should_route_branch_link,b'false'
25,imgurmobile,configns:firebase,enable_community_health_survey,b'false'
26,imgurmobile,configns:firebase,tag_picker_subtitle,"b""Find and follow the things you love today, and you'll be all smiles tomorrow!"""
27,imgurmobile,configns:firebase,experiment_DeepLink_Install,b'control'
28,imgurmobile,configns:firebase,feature_in_album_ads,b'true'
29,imgurmobile,configns:firebase,experiment_NSFW_Deeplink_Tags,b'mature_and_tags'
30,imgurmobile,configns:firebase,april_fools,"b'{""isEnabled"":false,""activationDate"":""2020-04-01T04:00:00Z"",""deactivationDate"":""2020-04-02T06:59:00Z""}'"
31,imgurmobile,configns:firebase,sticky_ad_match_buy_enabled,b'true'
32,imgurmobile,configns:fireperf,fpr_session_gauge_cpu_capture_frequency_ms_fg,b'100'
33,imgurmobile,configns:fireperf,fpr_session_gauge_memory_capture_frequency_ms_fg,b'100'
34,imgurmobile,configns:fireperf,fpr_rl_trace_event_count_fg,b'300'
35,imgurmobile,configns:fireperf,fpr_vc_session_sampling_rate,b'0.01'
36,imgurmobile,configns:fireperf,fpr_disabled_web_versions,
37,imgurmobile,configns:fireperf,fpr_disabled_android_versions,
38,imgurmobile,configns:fireperf,fpr_rl_network_request_event_count_bg,b'70'
39,imgurmobile,configns:fireperf,fpr_disabled_ios_versions,
40,imgurmobile,configns:fireperf,fpr_enabled,b'true'
41,imgurmobile,configns:fireperf,fpr_log_endpoint_url,b'https://firebaselogging.googleapis.com/v0cc/log?format=json_proto'
42,imgurmobile,configns:fireperf,fpr_session_gauge_cpu_capture_frequency_ms_bg,b'0'
43,imgurmobile,configns:fireperf,fpr_log_transport_web_percent,b'0.0'
44,imgurmobile,configns:fireperf,fpr_rl_trace_event_count_bg,b'30'
45,imgurmobile,configns:fireperf,fpr_session_gauge_memory_capture_frequency_ms_bg,b'0'
46,imgurmobile,configns:fireperf,fpr_session_max_length_min,b'240'
47,imgurmobile,configns:fireperf,fpr_rl_network_request_event_count_fg,b'700'
48,imgurmobile,configns:fireperf,fpr_vc_network_request_sampling_rate,b'0.518453'
49,imgurmobile,configns:fireperf,fpr_vc_trace_sampling_rate,b'1.0'
50,imgurmobile,configns:fireperf,fpr_log_source,b'462'
51,imgurmobile,configns:fireperf,fpr_rl_time_limit_sec,b'600'
72,imgurmobile,firebase:__FIRAPP_DEFAULT,show_tag_picker_first,b'false'
73,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_configuration,"b'{""refreshInterval"":15,""matchBuyEnabled"":true,""isEnabled"":true,""variant"":""variantA"",""preloadCount"":1}'"
74,imgurmobile,firebase:__FIRAPP_DEFAULT,allow_hls_video,b'true'
75,imgurmobile,firebase:__FIRAPP_DEFAULT,preferred_video_export_preset,b'AVAssetExportPreset1280x720'
76,imgurmobile,firebase:__FIRAPP_DEFAULT,enable_community_health_survey,b'false'
77,imgurmobile,firebase:__FIRAPP_DEFAULT,onboarding_tag_count,b'5'
78,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_variant,b'variantA'
79,imgurmobile,firebase:__FIRAPP_DEFAULT,upload_share_sheet,b'true'
80,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_EXAMPLE,
81,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_video_upload,b'true'
82,imgurmobile,firebase:__FIRAPP_DEFAULT,promoted_profile_link,"b'{""id"":""secret_santa_2019"",""title"":""Secret Santa is here!"",""body"":""Tap the hat to access your Secret Santa Hub"",""button_images_directory_url"":""https://s.imgur.com/images/promoted-profile-link/secret-santa-2019"",""button_background_hex_color"":""#591b9a"",""promoted_url"":""https://imgur.com/secretsanta"",""enabled"":false}'"
83,imgurmobile,firebase:__FIRAPP_DEFAULT,allow_nimbus_banners,b'false'
84,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_swipe_tooltip,b'true'
85,imgurmobile,firebase:__FIRAPP_DEFAULT,gallery_server_response_enabled,b'false'
86,imgurmobile,firebase:__FIRAPP_DEFAULT,allow_nimbus_banners_with_mraid,b'true'
87,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Onboarding_Tag_Count,
88,imgurmobile,firebase:__FIRAPP_DEFAULT,should_route_branch_link,b'false'
89,imgurmobile,firebase:__FIRAPP_DEFAULT,tag_picker_subtitle,"b""Find and follow the things you love today, and you'll be all smiles tomorrow!"""
90,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_nimbus_ads,b'true'
91,imgurmobile,firebase:__FIRAPP_DEFAULT,tag_picker_title,b'Discover the magic of the Internet'
92,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_NSFW_Deeplink_Tags,b'mature_and_tags'
93,imgurmobile,firebase:__FIRAPP_DEFAULT,interstitial_preload_buffer,b'3'
94,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_enabled,b'true'
95,imgurmobile,firebase:__FIRAPP_DEFAULT,example_text,
96,imgurmobile,firebase:__FIRAPP_DEFAULT,gallery_sticky_ad,b'false'
97,imgurmobile,firebase:__FIRAPP_DEFAULT,april_fools,"b'{""isEnabled"":false,""activationDate"":""2020-04-01T04:00:00Z"",""deactivationDate"":""2020-04-02T06:59:00Z""}'"
98,imgurmobile,firebase:__FIRAPP_DEFAULT,ignores_ad_config,b'true'
99,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Tag_Picker_Copy,
100,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_in_album_ads,b'true'
101,imgurmobile,firebase:__FIRAPP_DEFAULT,example_number,
102,imgurmobile,firebase:__FIRAPP_DEFAULT,ad_preload_banner_300x250,b'1'
103,imgurmobile,firebase:__FIRAPP_DEFAULT,feature_vid2vid,b'true'
104,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_DeepLink_Install,b'control'
105,imgurmobile,firebase:__FIRAPP_DEFAULT,show_tag_descriptions,
106,imgurmobile,firebase:__FIRAPP_DEFAULT,ad_preload_banner_320x50,b'2'
107,imgurmobile,firebase:__FIRAPP_DEFAULT,nsfw_onboarding_tags,"b'boobs,tht,lingerie,busty model,sexy,girls,rhm'"
108,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Auth_Onboarding_Ordering,
109,imgurmobile,firebase:__FIRAPP_DEFAULT,experiment_Tag_Descriptions,
110,imgurmobile,firebase:__FIRAPP_DEFAULT,sticky_ad_match_buy_enabled,b'true'
111,imgurmobile,firebase:__FIRAPP_DEFAULT,auth_phone_number,b'true'
112,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_vc_session_sampling_rate,b'0.001385847375445'
113,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_trace_event_count_fg,b'300'
114,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_disabled_web_versions,
115,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_disabled_android_versions,
116,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_cpu_capture_frequency_bg_ms,b'0'
117,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_network_request_event_count_bg,b'70'
118,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_disabled_ios_versions,
119,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_enabled,b'true'
120,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_log_endpoint_url,b'https://firebaselogging.googleapis.com/v0cc/log?format=json_proto'
121,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_cpu_capture_frequency_fg_ms,b'100'
122,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_log_transport_web_percent,b'0.0'
123,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_trace_event_count_bg,b'30'
124,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_max_length_min,b'240'
125,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_memory_capture_frequency_fg_ms,b'100'
126,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_network_request_event_count_fg,b'700'
127,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_vc_network_request_sampling_rate,b'0.11999'
128,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_session_gauge_memory_capture_frequency_bg_ms,b'0'
129,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_vc_trace_sampling_rate,b'1.0'
130,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_log_source,b'462'
131,imgurmobile,fireperf:__FIRAPP_DEFAULT,fpr_rl_time_limit_sec,b'600'
