entry_ID,version,hash_value,storage_policy,request_key,time_stamp,partition
1,0,5282386660924136373,0,https://d.line-scdn.net/yuki/static/line/sticker/62337/62337_thumb_1556857781926.png,2020-03-23 01:01:10,
2,0,-64571979703171145,0,https://d.line-scdn.net/yuki/static/line/sticker/62338/62338_thumb_1556857923829.png,2020-03-23 01:01:10,
3,0,7912770342431822250,0,https://d.line-scdn.net/yuki/static/line/sticker/62339/62339_thumb_1556858111464.png,2020-03-23 01:01:10,
4,0,7252763822521348507,0,https://d.line-scdn.net/yuki/static/line/sticker/62340/62340_thumb_1556858310491.png,2020-03-23 01:01:10,
5,0,7263240373840869018,0,https://d.line-scdn.net/yuki/static/line/sticker/63331/63331_thumb_1584603067832.png,2020-03-23 01:01:10,
6,0,-2461603625229762900,0,https://d.line-scdn.net/yuki/static/line/sticker/61884/61884_thumb_1546843132237.png,2020-03-23 01:01:10,
7,0,-8779536790875142475,0,https://d.line-scdn.net/yuki/static/line/sticker/63289/63289_thumb_1583303945276.png,2020-03-23 01:01:10,
8,0,-3370106568548251208,0,https://d.line-scdn.net/yuki/static/line/sticker/62815/62815_thumb_1583989692263.png,2020-03-23 01:01:10,
9,0,-8847031587906636100,0,https://d.line-scdn.net/yuki/static/line/sticker/62819/62819_thumb_1583989615228.png,2020-03-23 01:01:10,
10,0,3444958959167141563,0,https://d.line-scdn.net/yuki/static/line/sticker/62737/62737_thumb_1583989053287.png,2020-03-23 01:01:10,
11,0,-2929248542801697114,0,https://d.line-scdn.net/yuki/static/line/sticker/63218/63218_thumb_1583219681616.png,2020-03-23 01:01:10,
12,0,-1479359341726615115,0,https://d.line-scdn.net/yuki/static/line/sticker/62970/62970_thumb_1583995406374.png,2020-03-23 01:01:10,
13,0,6732036445119084980,0,https://d.line-scdn.net/yuki/static/line/sticker/62924/62924_thumb_1568775522458.png,2020-03-23 01:01:10,
14,0,3377416709165743033,0,https://d.line-scdn.net/yuki/static/line/sticker/62821/62821_thumb_1583989455579.png,2020-03-23 01:01:10,
