entry_ID,isDataOnFS,receiver_data
1,1,6D92B07C-374C-46DC-9BA5-280AEE02292A
2,0,"b'\x08\xa0\xf76\x1aM\n\x12\n\x0eANDROID_BACKUP\x10\x00\n\x11\n\rBATTERY_STATS\x10\x00\n\x0f\n\x0bSMART_SETUP\x10\x00\n\x08\n\x04TRON\x10\x00\x10\xa7\xe8\x80\x88\xb9\xba\xa8\xdc\xd1\x01""\x00'"
3,1,7710F60B-BACC-4618-96FC-FFF7DCA1B715
4,1,1ED5C25A-368A-4828-8606-DBB38D812C78
5,1,15005663-CFE0-4CE1-8F05-175D70C3638C
6,0,"b'{""consistency"":{""awakeRestlessPercentage"":0.037142979180401506,""flowId"":1,""recommendedSleepGoal"":495,""typicalDuration"":470,""typicalWakeupTime"":""06:24""},""goal"":{""minDuration"":480,""updatedOn"":""2020-04-03T16:22:55.562Z""}}'"
7,0,"b'{""activities"":[{""activeDuration"":1597000,""activityLevel"":[{""minutes"":0,""name"":""sedentary""},{""minutes"":0,""name"":""lightly""},{""minutes"":0,""name"":""fairly""},{""minutes"":27,""name"":""very""}],""activityName"":""Run"",""activityTypeId"":90009,""averageHeartRate"":160,""calories"":380,""caloriesLink"":""https://api.fitbit.com/1/user/-/activities/calories/date/2020-04-04/2020-04-04/1min/time/13:59/14:26.json"",""distance"":2.866686,""distanceUnit"":""Mile"",""duration"":1607000,""elevationGain"":221.000657,""heartRateLink"":""https://api.fitbit.com/1/user/-/activities/heart/date/2020-04-04/2020-04-04/1sec/time/13:59:24/14:26:11.json"",""heartRateZones"":[{""max"":89,""min"":30,""minutes"":0,""name"":""Out of Range""},{""max"":124,""min"":89,""minutes"":0,""name"":""Fat Burn""},{""max"":151,""min"":124,""minutes"":4,""name"":""Cardio""},{""max"":220,""min"":151,""minutes"":23,""name"":""Peak""}],""lastModified"":""2020-04-04T18:37:01.773Z"",""logId"":30099092677,""logType"":""tracker"",""manualValuesSpecified"":{""calories"":false,""distance"":false,""steps"":false},""originalDuration"":1607000,""originalStartTime"":""2020-04-04T13:59:24.000-04:00"",""pace"":557.0884888146259,""source"":{""id"":""161172253"",""name"":""Charge 3"",""trackerFeatures"":[""HEARTRATE"",""GPS"",""PACE"",""STEPS"",""VO2_MAX"",""DISTANCE"",""ELEVATION"",""CALORIES""],""type"":""tracker"",""url"":""https://www.fitbit.com/""},""speed"":6.462169067000627,""startTime"":""2020-04-04T13:59:24.000-04:00"",""steps"":4428,""tcxLink"":""https://api.fitbit.com/1/user/-/activities/30099092677.tcx""}],""pagination"":{""afterDate"":""2020-03-29"",""limit"":5,""next"":"""",""offset"":0,""previous"":"""",""sort"":""desc""}}'"
8,0,"b'{""weight"":[{""bmi"":26.06,""date"":""2020-04-03"",""logId"":1585958399000,""source"":""API"",""time"":""23:59:59"",""weight"":180}]}'"
9,0,"b'{""sleep"":[]}'"
10,0,"b'{""goal"":{""goal"":64.00994873046875,""startDate"":""2020-03-29""}}'"
11,0,"b'{""foods-log-water"":[{""dateTime"":""2020-03-28"",""value"":""0.0""},{""dateTime"":""2020-03-29"",""value"":""0.0""},{""dateTime"":""2020-03-30"",""value"":""0.0""},{""dateTime"":""2020-03-31"",""value"":""0.0""},{""dateTime"":""2020-04-01"",""value"":""0.0""},{""dateTime"":""2020-04-02"",""value"":""0.0""},{""dateTime"":""2020-04-03"",""value"":""0.0""}]}'"
12,0,"b'{""goal"":{}}'"
13,0,"b'{""weeklySummary"":[{""chatter"":""Dream big. You can do this."",""progress"":{""daysPerWeek"":0},""startDate"":""2020-04-12"",""weeklyGoal"":{""daysPerWeek"":5}}]}'"
14,0,"b'{""weight"":[{""bmi"":26.06,""date"":""2020-04-03"",""logId"":1585958399000,""source"":""API"",""time"":""23:59:59"",""weight"":180}]}'"
15,0,"b'{""foods-log-water"":[{""dateTime"":""2020-03-29"",""value"":""0.0""},{""dateTime"":""2020-03-30"",""value"":""0.0""},{""dateTime"":""2020-03-31"",""value"":""0.0""},{""dateTime"":""2020-04-01"",""value"":""0.0""},{""dateTime"":""2020-04-02"",""value"":""0.0""},{""dateTime"":""2020-04-03"",""value"":""0.0""},{""dateTime"":""2020-04-04"",""value"":""0.0""}]}'"
16,1,203B37E4-9E40-4CDE-BAAD-64597F6BFE00
17,0,"b'{""foods-log-water"":[{""dateTime"":""2020-03-30"",""value"":""0.0""},{""dateTime"":""2020-03-31"",""value"":""0.0""},{""dateTime"":""2020-04-01"",""value"":""0.0""},{""dateTime"":""2020-04-02"",""value"":""0.0""},{""dateTime"":""2020-04-03"",""value"":""0.0""},{""dateTime"":""2020-04-04"",""value"":""0.0""},{""dateTime"":""2020-04-05"",""value"":""0.0""}]}'"
18,0,"b'{""weight"":[{""bmi"":26.06,""date"":""2020-04-03"",""logId"":1585958399000,""source"":""API"",""time"":""23:59:59"",""weight"":180}]}'"
