file_id,size,icon_mode,hit_count,last_hit_date,width,height,bitspercomponent,bitsperpixel,bytesperrow,bitmapinfo,bitmapdata_location,bitmapdata_length,plistbuffer_location,plistbuffer_length,flavor,content_rect,badge_type,icon_variant,interpolation
-9223372036854413968,1800.0,0,1,606964778.0,900,894,8,32,3600,6,3218424,3218400,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036854370201,96.0,1,1,607052716.0,76,96,8,32,320,8194,6436840,30720,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
1,168.0,1,1,607052746.0,130,168,8,32,544,8194,6467576,91392,0,0,0,"{{0, 0}, {0, 0}}",0,2,0
-9223372036854369708,96.0,1,1,607052949.0,76,96,8,32,320,8194,6558984,30720,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036854085024,1800.0,0,1,607806796.0,900,391,8,32,3600,6,7997336,1407600,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036854084360,1800.0,0,1,607807633.0,900,718,8,32,3600,6,11989768,2584800,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853875677,1800.0,0,2,608345089.0,900,585,8,32,3600,6,16680600,2106000,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853873385,1800.0,0,2,608347708.0,900,886,8,32,3600,6,21976232,3189600,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853855980,1800.0,0,1,608389097.0,900,531,8,32,3600,6,25165848,1911600,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853856016,320.0,0,1,608389314.0,311,320,8,32,1248,6,6589720,399360,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853855980,320.0,0,1,608389314.0,320,189,8,32,1280,6,6989096,241920,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
2,168.0,1,1,608390027.0,130,168,8,32,544,8194,7231032,91392,0,0,0,"{{0, 0}, {0, 0}}",0,2,0
2,372.0,1,1,608390044.0,288,372,8,32,1152,8194,7322440,428544,0,0,0,"{{0, 0}, {0, 0}}",0,2,0
1,372.0,1,1,608390092.0,288,372,8,32,1152,8194,14574584,428544,0,0,0,"{{0, 0}, {0, 0}}",0,2,0
2,120.0,1,1,608390137.0,94,120,8,32,384,8194,7751000,46080,0,0,0,"{{0, 0}, {0, 0}}",0,2,0
-9223372036854369708,1800.0,0,1,608390143.0,900,1167,8,32,3616,8194,31297352,4219872,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853854736,310.0,0,1,608390157.0,100,128,8,32,416,8194,7797096,53248,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853854693,310.0,0,9,608730344.0,100,128,8,32,416,8194,7850360,53248,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853853702,310.0,0,14,608730344.0,92,128,8,32,384,8194,7903624,49152,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853853702,1800.0,0,1,608390510.0,900,1275,8,32,3616,8194,40127656,4610400,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853853702,120.0,0,1,608390530.0,86,120,8,32,352,8194,7952792,42240,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
3,168.0,1,1,608470870.0,119,168,8,32,480,8194,15003144,80640,0,0,0,"{{0, 0}, {0, 0}}",0,2,0
-9223372036853853628,1800.0,0,2,608730314.0,724,1024,8,32,2896,6,35517240,2965504,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
-9223372036853853628,320.0,0,1,608730314.0,181,256,8,32,736,6,15083800,188416,0,0,0,"{{0, 0}, {0, 0}}",0,0,0
