entry_ID,isDataOnFS,receiver_data
409,1,7F3F8F13-6607-4CA7-9BC0-32E6CAEDAC2F
410,0,"b'0\x82\x04\xce0\x82\x03\xb6\xa0\x03\x02\x01\x02\x02\x08\x01p\x15\x8cqY\x0e80\r\x06\t*\x86H\x86\xf7\r\x01\x01\x05\x05\x000\x7f1\x0b0\t\x06\x03U\x04\x06\x13\x02US1\x130\x11\x06\x03U\x04\n\x0c\nApple Inc.1&0$\x06\x03U\x04\x0b\x0c\x1dApple Certification Authority1301\x06\x03U\x04\x03\x0c*Apple Key Services Certification Authority0\x1e\x17\r120725180258Z\x17\r140726180258Z001\x0b0\t\x06\x03U\x04\x06\x13\x02US1\x120\x10\x06\x03U\x04\n\x0c\tApple Inc1\r0\x0b\x06\x03U\x04\x03\x0c\x04FPS10\x81\x9f0\r\x06\t*\x86H\x86\xf7\r\x01\x01\x01\x05\x00\x03\x81\x8d\x000\x81\x89\x02\x81\x81\x00\xaag\xd2\x1b2\xdd\t\xd1\xd4\xca@\xde\x1cRW\xdeA\x16=m\xc9\xdb\x9c\xffy\x1c[\xfd\x03^\x98k(x\xc5\x0c\xd1,\x04*U)\xa2\xb1\x9bA+o\xe7k\x06\\\x0eg,\xf9v\xa9\x06\x88\xd1o\xe8\xc33\x80\xf3\x93\xaf\xd8\x81\xda\xa8\xf0\xba\x00\xf8\x115\xce*U\xc9\xa9F.?\x18\xf3\xa8S\x0b\xd4\x07_\xc8\xb4\xe6\x85\x8d\x082%\x99\xa6\xe3\x8dk\xc5\x06\x81\x0e\x93\xe7\xb38\x03\xe0\xf1\xcd\x12\x11=\xfc\xc7\x9b\xbeO\x02\x03\x01\x00\x01\xa3\x82\x02\x1f0\x82\x02\x1b0\x1d\x06\x03U\x1d\x0e\x04\x16\x04\x14\xf3\xfa\xb1\xf4\xd6\xa4\xe49J\x0b\x9f\xe5m\xd8\xd2\x88\x9blG70\x0c\x06\x03U\x1d\x13\x01\x01\xff\x04\x020\x000\x1f\x06\x03U\x1d#\x04\x180\x16\x80\x14c\xe4GT\xcb\x85qYF,\x83\xac\xccD1dg\x03,\xbe0\x81\xe2\x06\x03U\x1d \x04\x81\xda0\x81\xd70\x81\xd4\x06\t*\x86H\x86\xf7cd\x05\x010\x81\xc60\x81\xc3\x06\x08+\x06\x01\x05\x05\x07\x02\x020\x81\xb6\x0c\x81\xb3Reliance on this certificate by any party assumes acceptance of the then applicable standard terms and conditions of use, certificate policy and certification practice statements.05\x06\x03U\x1d\x1f\x04.0,0*\xa0(\xa0&\x86$http://crl.apple.com/keyservices.crl0\x0e\x06\x03U\x1d\x0f\x01\x01\xff\x04\x04\x03\x02\x05 0\x14\x06\x0b*\x86H\x86\xf7cd\x06\r\x01\x05\x01\x01\xff\x04\x02\x05\x000\x1b\x06\x0b*\x86H\x86\xf7cd\x06\r\x01\x06\x01\x01\xff\x04\t\x01\x00\x00\x00\x01\x00\x00\x00\x010)\x06\x0b*\x86H\x86\xf7cd\x06\r\x01\x03\x01\x01\xff\x04\x17\x01~n;\x18\xe7\xb0\x12TY\x9ez\x10\xf6m\xdb\xba\x1c\xb1\x81\xc5\xe0\xb60A\x06\x0b*\x86H\x86\xf7cd\x06\r\x01\x04\x01\x01\xff\x04/\x01\x1e\xb2\xaf\x88r_\xfd\'\xbf\x89\xb7;OO\xf9\xe4\x1bu\x19\xe3\xf3i\x80U~\x01wf#nW\xdd\xf3\xf0\xfd\xea\xb1\xac\x00\xa8\x05\xf3\xce\x1fh\xe40\r\x06\t*\x86H\x86\xf7\r\x01\x01\x05\x05\x00\x03\x82\x01\x01\x00Tl\x82\xb6\xe2\xd8q\x86\xffh\xf8\xa3\x04+ZzlnWB(\x91rg\xdcH&\xc1\x81\xd9\xcav\x91\xe8vfxdT\xa7\xdaw\x7f\xc1\x17\xbb\xa5\xcfI\xe9\n\x08$""\xf9\xaf:\x85u\xfdE\xf9\xc6\x124]\xbe\xd3\xfe\x8e\xdb904\x8a\xb9B(j\xa7\x1e\xf1\xc2\xd7\xd9\xdaT9\x95\xdd\x7fyQ\xd0\x84\x0c\xd2E\xc7o\x96\xe84`l\x99\xb4\xcbV\'\xeax\xcb\x1e\xc5\xf6k\xc8l6\x84O\xf8X3\x89td&\xd6\x03\teN#?V\xff\x1d""\xcd!HGX\x06\x8cyk\\%3\xd1\x06\xe7\x11\xe2\xea\xc0\xb6\xfb\xed9`\xfc\xf2j\xe2d\xd1\xc6\xfa\xf7\x98\xc3\x9e[\xfa\xa07\xe8\xf4\xaa\x0c\xf3\x1b\x92\xefqM\x8e\xdf\xb0\xc6\xba\x9b\x12\x11\x9b\x05\x0bB\x08\xbc\x9c\xe95\xc0\xd8p\xdd\x93\xb4\xa9B\xadh#\xb7\x81*\x96vZ\x1es\x1aqQ\x04\x99\t%\xbb\xb5c\xe4\xa5u\xf0\r\x9a\x9e\x81I""\x8f\xdcL\x15-i\xaf~\xd1""'"
411,1,FF2BFA65-7FAD-4AE9-9F8F-0BB1C79F0ADA
412,1,98A26642-EF23-4855-86D4-55730563299F
413,1,57181F4D-BEAC-4636-B0F3-F6E906837A2E
414,1,9A6B15C6-E916-4D28-B20E-C8226FF1D871
415,1,00BEF883-91A6-4758-B75B-50D043AF991A
416,0,b'<plist>\n<dict>\n<key>sign-sap-setup-cert</key>\n<data>AQIAAAQWMIIEEjCCAvqgAwIBAgIBHDANBgkqhkiG9w0BAQUFADBiMQswCQYDVQQGEwJVUzETMBEGA1UEChMKQXBwbGUgSW5jLjEmMCQGA1UECxMdQXBwbGUgQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkxFjAUBgNVBAMTDUFwcGxlIFJvb3QgQ0EwHhcNMTEwMTI2MTkwMTM0WhcNMTkwMTI2MTkwMTM0WjCBhTELMAkGA1UEBhMCVVMxEzARBgNVBAoMCkFwcGxlIEluYy4xJjAkBgNVBAsMHUFwcGxlIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MTkwNwYDVQQDDDBBcHBsZSBTeXN0ZW0gSW50ZWdyYXRpb24gQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDa4A+Yl8tYKYYqC7ieGVoxwy0OaixSAe4dA/uCQWnNUCY2ercMbw45A7jUGFajCLI8w/s2QeTXyGdgMgtOMn2H9/3NU7AauvwfbMlFB62COPOofMROwrFW2T6ybW0EQRrBmkfArBV8LXiRqweiZbF6g92YS3dA2O5Q68drWAgGl1dVfSf4Cua1Feenk/nxgOZCeT8W0zKdEXZBKQoxCe8PW/jzp6n3Ug27+C10rKZJHx/OewWnhT2+z6KnqiOFZv7FFhJ+W+Ixd5ECCd9+fuSK4OxBrBcsBOC8eaSJeEQGiztLoLyE4rCCtTK+BBwD7YI+dTcUz3WfgjFtzwkUhtEnAgMBAAGjga4wgaswDgYDVR0PAQH/BAQDAgGGMA8GA1UdEwEB/wQFMAMBAf8wHQYDVR0OBBYEFPAwc2Py7x2szOYJMsH6eXqxaVBoMB8GA1UdIwQYMBaAFCvQaUeUdgn+9GuNLkCm90dNfwheMDYGA1UdHwQvMC0wK6ApoCeGJWh0dHA6Ly93d3cuYXBwbGUuY29tL2FwcGxlY2Evcm9vdC5jcmwwEAYKKoZIhvdjZAYCBAQCBQAwDQYJKoZIhvcNAQEFBQADggEBAD17j60fDCKKm0ujz/grsB9o4Qz3nCSDFgMt07Ko0EPorzyXJsit1SzETFVTAUnQ4rT75tty0Zi7/JvITrePzGWGf0S52icqTt/L39N930Fx+LPAHaIKM7nsK8Vzcvvhyl2OLzT0a8RPD8iKrA/7byVut66Ox+QCuCBOXVZMSZexJHR+yZOTNIyZ0afAHNPUwq5p65+fV+Jox8rVxSKCZEFY/njRysH5NmprRPezhnJ6ZEAXMZ28rHXw+jNR5b0Balg/8ACumVwKwsnpXhyHAuygCFVBKpuMZIWOUAPN4BGvznIZ61Lzr5Ktky6Undav/8Am8d6UkhzZvD02zFX6ONsAAAUxMIIFLTCCBBWgAwIBAgIISnQ/0ZM7Y5AwDQYJKoZIhvcNAQEFBQAwgYUxCzAJBgNVBAYTAlVTMRMwEQYDVQQKDApBcHBsZSBJbmMuMSYwJAYDVQQLDB1BcHBsZSBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTE5MDcGA1UEAwwwQXBwbGUgU3lzdGVtIEludGVncmF0aW9uIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTExMDQxNDIyMTE1NVoXDTE0MDQxMzIyMTE1NVowaTEdMBsGA1UEAwwURFJNIFRlY2hub2xvZ2llcyBBMDExJjAkBgNVBAsMHUFwcGxlIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MRMwEQYDVQQKDApBcHBsZSBJbmMuMQswCQYDVQQGEwJVUzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAL4tkXdyBqnMthEsRK5gt/jeP83WbyB6RoltOli/TPr+DPipyRVPqSn391cfFiPVAEcZ/d8OI8hdTc5gdxTasGug6RLkC0prjq/Tf67ZQxG1X082Vr2T1ZWZa6iYid5v3UmtM+fKN6XCb+3Gj0opLqwXxTrpbfogirVOar2cIlJOdxyQj+ZCZla6NhvjBeCDMUCOMkV8zU7qtLIwIL0tEGX1wgiCUdYOljNPU1j1SMHeWruhqn47Y3inQRMTBGyb/kX9p1LEqrBbEoY0S/TU1pV+BaZS1HzkoXi9YJyL0/9K8j4zLNf7oMcGFj7T+c6QZxYSBTUBrj3qUMQFUk125zUCAwEAAaOCAbowggG2MB0GA1UdDgQWBBQMbHKfljPJRvMMXWJDZxYlhrNcVDAMBgNVHRMBAf8EAjAAMB8GA1UdIwQYMBaAFPAwc2Py7x2szOYJMsH6eXqxaVBoMIIBDgYDVR0gBIIBBTCCAQEwgf4GCSqGSIb3Y2QFATCB8DAoBggrBgEFBQcCARYcaHR0cDovL3d3dy5hcHBsZS5jb20vYXBwbGVjYTCBwwYIKwYBBQUHAgIwgbYMgbNSZWxpYW5jZSBvbiB0aGlzIGNlcnRpZmljYXRlIGJ5IGFueSBwYXJ0eSBhc3N1bWVzIGFjY2VwdGFuY2Ugb2YgdGhlIHRoZW4gYXBwbGljYWJsZSBzdGFuZGFyZCB0ZXJtcyBhbmQgY29uZGl0aW9ucyBvZiB1c2UsIGNlcnRpZmljYXRlIHBvbGljeSBhbmQgY2VydGlmaWNhdGlvbiBwcmFjdGljZSBzdGF0ZW1lbnRzLjAvBgNVHR8EKDAmMCSgIqAghh5odHRwOi8vY3JsLmFwcGxlLmNvbS9hc2ljYS5jcmwwDgYDVR0PAQH/BAQDAgWgMBMGCiqGSIb3Y2QGDAIBAf8EAgUAMA0GCSqGSIb3DQEBBQUAA4IBAQCzR9MjeoFy1yK32EyHlabYoUy1XY+OfcDN/qZkDJj3XJVKKrYVjfGtsyCQdMFaRhi9ItDUfk+GNjRC8rp6F3vaWqghiSyxQ9YlPKq+jVQGRBQbgIcSqLmso3b21KrJU3mdGcjgCwt7AIV8/sZAKuSgExUOb+RVF0clhTiWRdolLcdsYTM6Bq8LkZ8Ts/7CnwN0VC6Txp9gR+vuK1YPpVni9mxqGsiA1C2U42QZAYAytXYSHC7G25kCf4coEXOZRSCaDwWs9Aft0NMeLzLstJyKKRdGI1P9ynH6FM+BNhpWdL8ej9BpdNHYsVQTb8KrHSyxiHp11wYrOFZlGB58wcWr</data>\n</dict>\n</plist>\n'
417,1,9E5EBBC8-F2D7-4C52-9008-266DDFE97D55
418,1,2D0F6356-8D20-4386-85DC-C7FC6D0A4ACE
